,Astar Materyali,Ayakkabı Tabanı,Bağlama Şekli,Bilek Stili,Boy / Ölçü,Deri Kalitesi,Desen,Dış Materyal,Ek Özellik,Kalıp,Koleksiyon,Kullanım Alanı,Kumaş Teknolojisi,Kumaş Tipi,Materyal,Materyal Bileşeni,Okula Dönüş,Ortam,Persona,Renk,Saya Materyali,Spor Branşı,Spor Türü,Sürdürülebilir,Sürdürülebilirlik Detayı,Taban,Taban Materyali,Taban Teknolojisi,Taban Tipi,Topuk Boyu,Topuk Tipi,Zemin,Çeşit,Çivi Tipi,Özellik,İzolasyon,İç Taban Materyali,url,price
,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/riccon/run-pro-siyah-siyah-erkek-kosu-ayakkabisi-0012121-p-290127175,"299,99 TL"
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,,Bağcıklı,,,,Düz,Tekstil,,,,Spor,,Örme,,100% Suni Deri,,Sportswear,,Siyah,,,,,,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,,https://www.trendyol.com/hummel/caracas-siyah-unisex-ayakkabi-p-31534192,"379,95 TL"
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,,Bağcıklı,,,,Düz,,Ortopedik Taban,,,Spor,,Örme,Suni Deri,"62% Poliüretan, 35% Viskoz, 3% Elastan",,Casual&Comfort,,Siyah,,,,,,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,,https://www.trendyol.com/tonny-black/unisex-siyah-spor-ayakkabi-v2alx-p-110345644,"228,66 TL"
,Tekstil,,Bağcıklı,,,,,Mikrofiber,,,,Günlük,,,Suni Deri,,,Sportswear,Cool Comfort,Siyah,,,,,Organik,,Kauçuk,Kauçuk Taban,,,,,,,,,Tekstil,https://www.trendyol.com/muggo/blake-unisex-sneaker-ayakkabi-p-147045762,"239,99 TL"
,,,Bağcıklı,,,,,Mikrofiber,,,,Outdoor,,,Tekstil,,,,,Beyaz,,,,,,,,Air Zoom,Düz Taban,,,,,,,,,https://www.trendyol.com/freemax/unisex-garantili-ortopedik-hafif-esnek-saglam-sneaker-spor-ayakkabi-beyaz-beyaz-p-261669042,"299,90 TL"
,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/big-king/siyah-spor-ayakkabi-p-252292984,"269,90 TL"
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Suni Deri,,Bağcıklı,,,,Renk Bloklu,Suni Deri,Ortopedik Taban,,,Spor,,Örme,Suni Deri,100% Suni Deri,,Sportswear,,Gri,Suni Deri,,,,,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,Suni Deri,https://www.trendyol.com/tonny-black/unisex-gri-faylon-taban-spor-ayakkabi-tbb013-p-239878303,"227,05 TL"
,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,,,,,,,,,https://www.trendyol.com/big-king/siyah-dozer-triko-kaucuk-detay-spor-ayakkabi-p-254036977,"359,90 TL"
,,,Fermuarlı,,,,,Suni Deri,,Normal,,Günlük,Soğuk Havaya Dayanıklı,,Su Geçirmez,,,,,Siyah,,,,,,Kauçuk,,Su Tahliyeli,,Kısa Topuklu (1- 4 cm),Kalın Topuklu,,,,,,,https://www.trendyol.com/yabuman/unisex-kislik-uzun-bot-oly-203-p-55417469,"296,99 TL"
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,,Bağcıklı,,,,Düz,,,,,,,,Suni Deri,100% Pamuk,,Casual&Comfort,,Siyah,,,,,,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,,,,,,https://www.trendyol.com/tonny-black/unisex-siyah-siyah-yani-cizgili-bagcikli-rahat-kalip-sneaker-p-323411008,"218,27 TL"
