Unnamed: 0,Astar Materyali,Bağlama Şekli,Desen,Dış Materyal,Ek Özellik,Kullanım Alanı,Kumaş Tipi,Materyal,Materyal Bileşeni,Ortam,Persona,Renk,Saya Materyali,Taban Materyali,Taban Teknolojisi,Taban Tipi,Topuk Boyu,Topuk Tipi,İç Taban Materyali,url,price
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,Bağcıklı,Renk Bloklu,,Ortopedik Taban,Spor,Örme,Suni Deri,"62% Polyester, 35% Viskoz, 3% Elastan",Sportswear,,Beyaz,,,,Kaydırmaz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/tonny-black/unisex-spor-ayakkabi-beyaz-cilt-tb248-40-beyaz-cilt-p-35724675,2663 
,Suni Deri,Bağcıklı,,Suni Deri,,,,,,,,Siyah,,PVC,,Kalın Taban,Kısa Topuklu (1- 4 cm),,,https://www.trendyol.com/soho-exclusive/siyah-unisex-sneaker-14361-p-34108207,1059 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,Bağcıklı,Düz,,,,,Suni Deri,100% Materyal bilgisi için iç etiketi kontrol ediniz.,Casual&Comfort,,Bej,,,,,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/tonny-black/unisex-bej-kaymaz-eva-taban-suet-sneaker-p-350036410,2727 
,,Bağcıksız,,,,,,Poliüretan,,,,Siyah,,,,,Kısa Topuklu (1- 4 cm),,,https://www.trendyol.com/trend-ayakkabi/siyah-ev-patigi-p-66015250,690 
,,Bağcıklı,,Suni Deri,,Spor,,Tekstil,,,Cool Comfort,Siyah,,,,Düz Taban,,Düz Topuklu,,https://www.trendyol.com/jump/26468-erkek-spor-ayakkabi-p-72392261,2544 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,,Bağcıklı,Slogan,,,Spor,Örme,Tekstil,"62% Poliüretan, 35% Viskoz, 3% Elastan",Sportswear,Cool Comfort,Siyah,,,Kauçuk Taban,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,,https://www.trendyol.com/hummel/deuce-court-tonal-unisex-siyah-ayakkabi-p-34014157,3495 
,,Bağcıksız,,,,,,Süet,,,,Bordo,,Kauçuk,,,,,,https://www.trendyol.com/slipcat/unisex-ici-yunlu-ev-pandufu-ev-botu-ev-ayakkabisi-p-343221802,677 
,,Bağcıklı,,,,,,,,,,Gri,,,,,,,,https://www.trendyol.com/bigport/esnek-ve-rahat-tabanli-erkek-yuruyus-kosu-ve-antrenman-ayakkabisi-gri-fume-sari-siyah-yeni-sezon-bp-p-333975871,3360 
• Silerek temizleyebilirsiniz • Detaylı bakım talimatları için lütfen ürün etiketini kontrol ediniz.,Suni Deri,Bağcıklı,Slogan,Suni Deri,,Outdoor,Örme,Suni Deri,100% Suni Deri,Sportswear,,Siyah,,,Eva Taban,,Kısa Topuklu (1- 4 cm),Düz Topuklu,Suni Deri,https://www.trendyol.com/hummel/messmer-unisex-siyah-ayakkabi-p-3031373,3795 
,,Bağcıklı,,Suni Deri,,Outdoor,,Suni Deri,,,,Beyaz,,,Phylon/Termo (Kaydırmaz) Taban,Düz Taban,,,,https://www.trendyol.com/mcdark/uzun-bilekli-spor-sneakers-ayakkabi-p-335955872,2690 
,Tekstil,Fermuarlı,,Suni Deri,Su Geçirmez,Günlük,,Yünlü,,Günlük,,Siyah,Tekstil,Kauçuk,Su Tahliyeli,,Kısa Topuklu (1- 4 cm),Kalın Topuklu,Tekstil,https://www.trendyol.com/sanvio-tarzkar/erkek-siyah-gunluk-ici-kurklu-soguk-ve-su-gecirmez-yarim-bot-p-153091235,2793 
,Tekstil,Fermuarlı,,Suni Deri,Su Geçirmez,Günlük,,Yünlü,,Günlük,,Siyah,Tekstil,Kauçuk,Su Tahliyeli,,Kısa Topuklu (1- 4 cm),Kalın Topuklu,Tekstil,https://www.trendyol.com/sanvio-tarzkar/erkek-siyah-gunluk-ici-kurklu-soguk-ve-su-gecirmez-yarim-bot-p-153091235,2793 
,,Bağcıksız,,,,,,,,,,Siyah,,EVA,,,,,,https://www.trendyol.com/behtah-gezer/bay-bayan-ev-ici-panduf-p-57352098,625 
,,Bantlı,,,,,,,,,,Beyaz,,,,,,,,https://www.trendyol.com/nstil/unisex-kar-botu-beyaz-kaymaz-taban-kurklu-p-144809663,2944 
,,,,,,,,,,,,Beyaz,,,,,,,,https://www.trendyol.com/puma/anzarun-lite-jr-2-beyaz-erkek-cocuk-kosu-ayakkabisi-100547381-p-34721841,7038 
,,,,,,,,Tekstil,,,,Gri,,,,,,,,https://www.trendyol.com/xstreet/jota-unisex-spor-ayakkabi-kosu-yuruyus-ayakkabisi-p-282416283,1493 
,Tekstil,Bağcıklı,,Suni Deri,Ortopedik Taban,Spor,,Triko,,,Cool Comfort,Siyah,Tekstil,Poli,Poliüretan Taban,Düz Taban,Kısa Topuklu (1- 4 cm),Düz Topuklu,Suni Deri,https://www.trendyol.com/entiti/unisex-siyah-cizgili-bilek-boy-converse-sneaker-bagcikli-gunluk-yuruyus-spor-gezi-ayakkabisi-p-284589919,2699 
,,Bağcıklı,,,Ortopedik Taban,,,,,,,Siyah,,,,,Kısa Topuklu (1- 4 cm),,,https://www.trendyol.com/albidunya/erkek-ortopedik-tabanli-gunluk-ayakkabi-p-138261508,139 
,,,,,,,,,,,,Beyaz,,,,,,,,https://www.trendyol.com/puma/unisex-beyaz-sneaker-ayakkabi-100547144-p-34721879,7640 
